2020-09-22 21:11:06,734 :: INFO    :: BUY entry                                                                        ('/entry.py', 27)
2020-09-22 21:11:06,812 :: INFO    :: close start                                                                      ('/lib/bitflyer.py', 66)
2020-09-22 21:11:07,349 :: INFO    :: sendchildorder side=BUY, size=0.33, price=1104539                                ('/lib/bitflyer.py', 135)
2020-09-22 21:11:10,708 :: INFO    :: sendchildorder side=BUY, size=0.33, price=1104727                                ('/lib/bitflyer.py', 135)
2020-09-22 21:11:14,139 :: INFO    :: sendchildorder side=BUY, size=0.33, price=1104824                                ('/lib/bitflyer.py', 135)
2020-09-22 21:11:17,349 :: INFO    :: close complete                                                                   ('/lib/bitflyer.py', 77)
2020-09-22 21:11:17,354 :: INFO    :: BUY order start                                                                  ('/lib/bitflyer.py', 19)
2020-09-22 21:11:17,795 :: INFO    :: sendchildorder side=BUY, size=0.33, price=1104832                                ('/lib/bitflyer.py', 135)
2020-09-22 21:11:21,228 :: INFO    :: sendchildorder side=BUY, size=0.33, price=1104875                                ('/lib/bitflyer.py', 135)
2020-09-22 21:11:24,817 :: INFO    :: sendchildorder side=BUY, size=0.33, price=1104821                                ('/lib/bitflyer.py', 135)
2020-09-22 21:11:30,077 :: INFO    :: sendchildorder side=BUY, size=0.01, price=1104777                                ('/lib/bitflyer.py', 135)
2020-09-22 21:11:33,456 :: INFO    :: BUY order complete                                                               ('/lib/bitflyer.py', 50)
2020-09-22 21:11:37,071 :: INFO    :: insert asset 116                                                                 ('/loss_compensation.py', 93)
2020-09-22 21:12:48,766 :: INFO    :: insert asset 6                                                                   ('/loss_compensation.py', 93)
